# Test three evolutionary algorithms and benchmark the best
# ROI: RouletteWheel,	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOI: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOS: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Swap Mutation(p=1.0
# Notes: Results for PR2392 and USA13509 will come at the end because of long time of running.
# Notes: Results are in CSV format

# Compare three algorithms with varying population sizes
AlgoName,FileName,PopSize,Gen,Cost
TOS,testfiles/st70.tsp,200,20000,1018.1189263840035
ROI,testfiles/kroA100.tsp,20,0,158813.6547428187
ROI,testfiles/kroA100.tsp,20,2000,65219.07846027627
ROI,testfiles/kroA100.tsp,20,5000,50778.495723556
ROI,testfiles/kroA100.tsp,20,10000,41962.192773498435
ROI,testfiles/kroA100.tsp,20,20000,30910.05977697885
TOI,testfiles/kroA100.tsp,20,0,159945.6288184751
TOI,testfiles/kroA100.tsp,20,2000,55225.28619888886
TOI,testfiles/kroA100.tsp,20,5000,35894.92461825337
TOI,testfiles/kroA100.tsp,20,10000,28046.127142643196
TOI,testfiles/kroA100.tsp,20,20000,23761.42428761296
TOS,testfiles/kroA100.tsp,20,0,149281.00662534716
TOS,testfiles/kroA100.tsp,20,2000,69988.0776685699
TOS,testfiles/kroA100.tsp,20,5000,54228.077999637695
TOS,testfiles/kroA100.tsp,20,10000,46931.07517335602
TOS,testfiles/kroA100.tsp,20,20000,43385.136359679746
ROI,testfiles/kroA100.tsp,50,0,150028.424388001
ROI,testfiles/kroA100.tsp,50,2000,78829.2034097668
ROI,testfiles/kroA100.tsp,50,5000,62286.43065986494
ROI,testfiles/kroA100.tsp,50,10000,52860.03771799897
ROI,testfiles/kroA100.tsp,50,20000,46090.17942154315
TOI,testfiles/kroA100.tsp,50,0,153080.1787304408
TOI,testfiles/kroA100.tsp,50,2000,48629.65006566763
TOI,testfiles/kroA100.tsp,50,5000,33742.78210866268
TOI,testfiles/kroA100.tsp,50,10000,24819.20560294966
TOI,testfiles/kroA100.tsp,50,20000,23344.688452260885
TOS,testfiles/kroA100.tsp,50,0,150580.24001586923
TOS,testfiles/kroA100.tsp,50,2000,61748.44811938014
TOS,testfiles/kroA100.tsp,50,5000,54043.53206193424
TOS,testfiles/kroA100.tsp,50,10000,47611.87575612664
TOS,testfiles/kroA100.tsp,50,20000,45494.9655569917
ROI,testfiles/kroA100.tsp,100,0,156483.1339894471
ROI,testfiles/kroA100.tsp,100,2000,80494.38099447654
ROI,testfiles/kroA100.tsp,100,5000,69392.00584847292
ROI,testfiles/kroA100.tsp,100,10000,61767.501211045324
ROI,testfiles/kroA100.tsp,100,20000,53432.78949532887
TOI,testfiles/kroA100.tsp,100,0,149457.52980405962
TOI,testfiles/kroA100.tsp,100,2000,48720.05338370453
TOI,testfiles/kroA100.tsp,100,5000,35535.96994573429
TOI,testfiles/kroA100.tsp,100,10000,26694.036427347033
TOI,testfiles/kroA100.tsp,100,20000,24019.025388330498
TOS,testfiles/kroA100.tsp,100,0,153551.68530209956
TOS,testfiles/kroA100.tsp,100,2000,66829.09584979249
TOS,testfiles/kroA100.tsp,100,5000,56445.40048147127
TOS,testfiles/kroA100.tsp,100,10000,48312.27748613345
TOS,testfiles/kroA100.tsp,100,20000,43144.141854922585
ROI,testfiles/kroA100.tsp,200,0,150335.44946685623
ROI,testfiles/kroA100.tsp,200,2000,104265.76329005076
ROI,testfiles/kroA100.tsp,200,5000,89994.16586549777
ROI,testfiles/kroA100.tsp,200,10000,75109.22546656347
ROI,testfiles/kroA100.tsp,200,20000,62228.18394122361
TOI,testfiles/kroA100.tsp,200,0,142234.43872061843
TOI,testfiles/kroA100.tsp,200,2000,49281.990209310294
TOI,testfiles/kroA100.tsp,200,5000,32474.531059406967
TOI,testfiles/kroA100.tsp,200,10000,27481.186276941597
TOI,testfiles/kroA100.tsp,200,20000,23168.561393477426
TOS,testfiles/kroA100.tsp,200,0,151231.98739591456
TOS,testfiles/kroA100.tsp,200,2000,63760.22546638812
TOS,testfiles/kroA100.tsp,200,5000,52490.36385698411
TOS,testfiles/kroA100.tsp,200,10000,42729.08949925778
TOS,testfiles/kroA100.tsp,200,20000,35654.22934245591
ROI,testfiles/kroC100.tsp,20,0,151100.47800797774
ROI,testfiles/kroC100.tsp,20,2000,66485.44703382283
ROI,testfiles/kroC100.tsp,20,5000,47945.32434438214
ROI,testfiles/kroC100.tsp,20,10000,37251.84144678711
ROI,testfiles/kroC100.tsp,20,20000,26115.34312601493
TOI,testfiles/kroC100.tsp,20,0,151866.45297850532
TOI,testfiles/kroC100.tsp,20,2000,50009.04845404784
TOI,testfiles/kroC100.tsp,20,5000,34305.28593434589
TOI,testfiles/kroC100.tsp,20,10000,27191.425784504918
TOI,testfiles/kroC100.tsp,20,20000,22665.7204786279
TOS,testfiles/kroC100.tsp,20,0,156537.43220650297
TOS,testfiles/kroC100.tsp,20,2000,72199.22191480102
TOS,testfiles/kroC100.tsp,20,5000,56961.14438512591
TOS,testfiles/kroC100.tsp,20,10000,49634.760723414205
TOS,testfiles/kroC100.tsp,20,20000,40046.98500781114
